slider
id,AUC,pAUC
00,0.6857865168539325,0.47368421052631576
02,0.602434456928839,0.4803863591563178
04,0.6087078651685393,0.5032525133057363
06,0.44786516853932584,0.48492016558249557
Average,0.5861985018726592,0.4855608121427163

slider
id,AUC,pAUC
00,0.6834550561797753,0.47368421052631576
02,0.601685393258427,0.4803863591563178
04,0.6084831460674157,0.5032525133057363
06,0.4479775280898876,0.48492016558249557
Average,0.5854002808988764,0.4855608121427163

slider
id,AUC,pAUC
00,0.6834550561797753,0.47368421052631576
02,0.601685393258427,0.4803863591563178
04,0.6084831460674157,0.5032525133057363
06,0.4479775280898876,0.48492016558249557
Average,0.5854002808988764,0.4855608121427163

