slider
id,AUC,pAUC
00,0.9664887640449438,0.8361916026020106
02,0.7843071161048689,0.6311847033313621
04,0.9328651685393258,0.6927853341218214
06,0.6535955056179775,0.49024246008279126
Average,0.8343141385767789,0.6626010250344964

